State_abbr,State,2016,2015,2014,2013,2012,2011,2010
,United States,0.049,0.053,0.062,0.074,0.081,0.089,0.096
AL,Alabama,0.06,0.061,0.071,0.069,0.08,0.098,0.105
AK,Alaska,0.066,0.067,0.071,0.066,0.074,0.076,0.08
AZ,Arizona,0.052,0.06,0.07,0.08,0.082,0.095,0.104
AR,Arkansas,0.039,0.052,0.06,0.078,0.076,0.086,0.086
CA,California,0.054,0.062,0.075,0.089,0.104,0.116,0.122
CO,Colorado,0.033,0.039,0.049,0.066,0.081,0.084,0.087
CT,Connecticut,0.052,0.056,0.066,0.077,0.084,0.089,0.092
DE,Delaware,0.043,0.05,0.058,0.07,0.072,0.075,0.085
DC,District Of Columbia,0.061,0.069,0.078,0.086,0.09,0.104,0.092
FL,Florida,0.049,0.054,0.063,0.071,0.084,0.1,0.111
GA,Georgia,0.054,0.058,0.072,0.082,0.091,0.101,0.107
HI,Hawaii,0.03,0.037,0.044,0.048,0.06,0.073,0.07
ID,Idaho,0.039,0.043,0.047,0.065,0.071,0.087,0.09
IL,Illinois,0.059,0.059,0.07,0.091,0.087,0.097,0.102
IN,Indiana,0.045,0.048,0.061,0.077,0.083,0.09,0.106
IA,Iowa,0.039,0.036,0.046,0.047,0.051,0.058,0.061
KS,Kansas,0.042,0.043,0.046,0.056,0.056,0.067,0.074
KY,Kentucky,0.049,0.054,0.065,0.081,0.08,0.095,0.103
LA,Louisiana,0.062,0.062,0.064,0.07,0.071,0.078,0.078
ME,Maine,0.039,0.044,0.057,0.068,0.077,0.08,0.082
MD,Maryland,0.042,0.052,0.058,0.067,0.07,0.07,0.077
MA,Massachusetts,0.037,0.049,0.058,0.07,0.067,0.073,0.085
MI,Michigan,0.049,0.054,0.072,0.086,0.091,0.102,0.122
MN,Minnesota,0.039,0.038,0.04,0.049,0.058,0.065,0.073
MS,Mississippi,0.057,0.065,0.077,0.088,0.089,0.105,0.109
MO,Missouri,0.044,0.05,0.064,0.066,0.069,0.084,0.095
MT,Montana,0.042,0.041,0.046,0.055,0.061,0.073,0.077
NE,Nebraska,0.034,0.03,0.033,0.041,0.04,0.045,0.048
NV,Nevada,0.059,0.069,0.077,0.098,0.11,0.131,0.144
NH,New Hampshire,0.028,0.034,0.042,0.052,0.056,0.054,0.059
NJ,New Jersey,0.049,0.058,0.067,0.082,0.095,0.094,0.093
NM,New Mexico,0.068,0.068,0.07,0.072,0.071,0.074,0.085
NY,New York,0.048,0.053,0.064,0.076,0.087,0.081,0.085
NC,North Carolina,0.05,0.059,0.062,0.079,0.092,0.105,0.105
ND,North Dakota,0.033,0.027,0.028,0.029,0.032,0.036,0.038
OH,Ohio,0.049,0.049,0.056,0.076,0.072,0.087,0.101
OK,Oklahoma,0.051,0.043,0.045,0.056,0.051,0.062,0.072
OR,Oregon,0.049,0.057,0.071,0.079,0.089,0.094,0.11
PA,Pennsylvania,0.056,0.052,0.057,0.075,0.078,0.078,0.086
RI,Rhode Island,0.054,0.059,0.077,0.092,0.105,0.111,0.113
SC,South Carolina,0.049,0.059,0.064,0.076,0.094,0.105,0.11
SD,South Dakota,0.028,0.035,0.035,0.036,0.046,0.049,0.051
TN,Tennessee,0.047,0.057,0.066,0.08,0.078,0.092,0.094
TX,Texas,0.046,0.044,0.05,0.063,0.067,0.078,0.08
UT,Utah,0.036,0.036,0.039,0.044,0.058,0.07,0.082
VT,Vermont,0.033,0.036,0.042,0.043,0.051,0.058,0.062
VA,Virginia,0.041,0.045,0.052,0.056,0.06,0.065,0.075
WA,Washington,0.055,0.056,0.063,0.07,0.083,0.094,0.102
WV,West Virginia,0.061,0.069,0.066,0.066,0.074,0.081,0.09
WI,Wisconsin,0.041,0.046,0.056,0.067,0.071,0.078,0.087
WY,Wyoming,0.054,0.041,0.044,0.046,0.055,0.059,0.066
