quarter,occupation1,recruitment_rate,resignation_rate
1990-Q1,"professional, managers, executive and technicians",2.6,1.9
1990-Q1,"clerical, sales and services workers",6,5.9
1990-Q1,"production and transport operators, cleaners and labourers",4.9,5.1
1990-Q2,"professional, managers, executive and technicians",3.2,2.1
1990-Q2,"clerical, sales and services workers",6.3,5.5
1990-Q2,"production and transport operators, cleaners and labourers",5.2,4.6
1990-Q3,"professional, managers, executive and technicians",2.7,1.9
1990-Q3,"clerical, sales and services workers",5.4,4.7
1990-Q3,"production and transport operators, cleaners and labourers",4.3,3.8
1990-Q4,"professional, managers, executive and technicians",1.9,1.2
1990-Q4,"clerical, sales and services workers",5.5,3.9
1990-Q4,"production and transport operators, cleaners and labourers",3.7,3.1
1991-Q1,"professional, managers, executive and technicians",2.2,1.7
1991-Q1,"clerical, sales and services workers",4.7,4.9
1991-Q1,"production and transport operators, cleaners and labourers",4.1,4.4
1991-Q2,"professional, managers, executive and technicians",2.6,1.8
1991-Q2,"clerical, sales and services workers",5.3,5
1991-Q2,"production and transport operators, cleaners and labourers",4.6,4.4
1991-Q3,"professional, managers, executive and technicians",2.4,1.7
1991-Q3,"clerical, sales and services workers",4.7,4.3
1991-Q3,"production and transport operators, cleaners and labourers",3.9,3.7
1991-Q4,"professional, managers, executive and technicians",1.6,1.1
1991-Q4,"clerical, sales and services workers",5,3.6
1991-Q4,"production and transport operators, cleaners and labourers",3.1,2.5
1992-Q1,"professional, managers, executive and technicians",2.1,1.7
1992-Q1,"clerical, sales and services workers",4.8,4.8
1992-Q1,"production and transport operators, cleaners and labourers",4.1,4.5
1992-Q2,"professional, managers, executive and technicians",2.4,1.7
1992-Q2,"clerical, sales and services workers",5.1,4.6
1992-Q2,"production and transport operators, cleaners and labourers",4.4,4.1
1992-Q3,"professional, managers, executive and technicians",2.3,1.6
1992-Q3,"clerical, sales and services workers",4.4,3.9
1992-Q3,"production and transport operators, cleaners and labourers",3.6,3.4
1992-Q4,"professional, managers, executive and technicians",1.4,1.1
1992-Q4,"clerical, sales and services workers",4.6,3.5
1992-Q4,"production and transport operators, cleaners and labourers",2.7,2.4
1993-Q1,"professional, managers, executive and technicians",2.1,1.7
1993-Q1,"clerical, sales and services workers",4.5,4.8
1993-Q1,"production and transport operators, cleaners and labourers",4.2,4.2
1993-Q2,"professional, managers, executive and technicians",2.4,1.8
1993-Q2,"clerical, sales and services workers",5.1,4.5
1993-Q2,"production and transport operators, cleaners and labourers",4.3,3.7
1993-Q3,"professional, managers, executive and technicians",2.3,1.7
1993-Q3,"clerical, sales and services workers",4.7,3.9
1993-Q3,"production and transport operators, cleaners and labourers",3.4,3
1993-Q4,"professional, managers, executive and technicians",1.7,1.2
1993-Q4,"clerical, sales and services workers",4.6,3.4
1993-Q4,"production and transport operators, cleaners and labourers",2.8,2.1
1994-Q1,"professional, managers, executive and technicians",2.4,1.9
1994-Q1,"clerical, sales and services workers",4.4,4.9
1994-Q1,"production and transport operators, cleaners and labourers",3.4,3.7
1994-Q2,"professional, managers, executive and technicians",2.9,2.1
1994-Q2,"clerical, sales and services workers",5.2,4.5
1994-Q2,"production and transport operators, cleaners and labourers",3.9,3.5
1994-Q3,"professional, managers, executive and technicians",2.7,1.8
1994-Q3,"clerical, sales and services workers",4.4,3.9
1994-Q3,"production and transport operators, cleaners and labourers",3.5,2.9
1994-Q4,"professional, managers, executive and technicians",1.8,1.2
1994-Q4,"clerical, sales and services workers",4.4,3.1
1994-Q4,"production and transport operators, cleaners and labourers",2.8,2.2
1995-Q1,"professional, managers, executive and technicians",2.4,2
1995-Q1,"clerical, sales and services workers",4.5,4.8
1995-Q1,"production and transport operators, cleaners and labourers",4,3.8
1995-Q2,"professional, managers, executive and technicians",2.9,2.1
1995-Q2,"clerical, sales and services workers",4.9,4.5
1995-Q2,"production and transport operators, cleaners and labourers",3.9,3.4
1995-Q3,"professional, managers, executive and technicians",2.6,1.8
1995-Q3,"clerical, sales and services workers",4.2,3.8
